Type,Name,Amount,Date,Category,Sub-category,Comments,,,,,,,,,,,,,,,,,,,
Income,Payroll,1800,2023-01-01,Income,Salary,Monthly salary,,,,,,,,,,,,,,,,,,,
Expense,Rent,800,2023-01-01,Utilities,Rent,Apartment rent,,,,,,,,,,,,,,,,,,,
Expense,Grocery Shopping,75.5,2023-02-01,Food,Grocery,Weekly groceries,,,,,,,,,,,,,,,,,,,
Income,Freelance Project,300,2023-03-01,Income,,Web development,,,,,,,,,,,,,,,,,,,
Expense,Gas Station,40,2023-03-01,Transportation,Gas,Fuel for the car,,,,,,,,,,,,,,,,,,,
Income,Bonus,200,2023-04-01,Income,,Performance bonus,,,,,,,,,,,,,,,,,,,
Expense,Online Shopping,150,2023-05-01,Shopping,Other,Clothing purchase,55,,,,,,,,,,,,,,,,,,
Income,Side Gig,120,2023-06-01,Income,,Consulting project,,,,,,,,,,,,,,,,,,,
Expense,Dining Out,60,2023-07-01,Food,Restaurant,Dinner with friends,,,,,,,,,,,,,,,,,,,
Expense,Grocery Shopping,80,2023-08-01,Food,Grocery,Weekly groceries,,,,,,,,,,,,,,,,,,,
Income,Payroll,1800,2023-09-01,Income,Salary,Monthly salary,,,,,,,,,,,,,,,,,,,
Expense,Rent,800,2023-10-01,Utilities,Rent,Apartment rent,,,,,,,,,,,,,,,,,,,
Expense,Grocery Shopping,75.5,2023-11-01,Food,Grocery,Weekly groceries,,,,,,,,,,,,,,,,,,,
Income,Freelance Project,300,2023-12-01,Income,,Web development,,,,,,,,,,,,,,,,,,,
Expense,Gas Station,40,2023-01-13,Transportation,Gas,Fuel for the car,,,,,,,,,,,,,,,,,,,
Income,Bonus,200,2023-01-14,Income,,Performance bonus,,,,,,,,,,,,,,,,,,,
Expense,Online Shopping,150,2023-01-15,Shopping,Other,Clothing purchase,,,,,,,,,,,,,,,,,,,
Income,Side Gig,120,2023-01-16,Income,,Consulting project,,,,,,,,,,,,,,,,,,,
Expense,Dining Out,60,2023-01-17,Food,Restaurant,Dinner with friends,,,,,,,,,,,,,,,,,,,
Expense,Grocery Shopping,80,2023-01-18,Food,Grocery,Weekly groceries,,,,,,,,,,,,,,,,,,,
Income,Payroll,1800,2023-01-19,Income,Salary,Monthly salary,,,,,,,,,,,,,,,,,,,
Expense,Rent,800,2023-01-20,Utilities,Rent,Apartment rent,,,,,,,,,,,,,,,,,,,
Expense,Grocery Shopping,75.5,2023-01-21,Food,Grocery,Weekly groceries,,,,,,,,,,,,,,,,,,,
Income,Freelance Project,300,2023-01-22,Income,,Web development,,,,,,,,,,,,,,,,,,,
Expense,Gas Station,40,2023-01-23,Transportation,Gas,Fuel for the car,,,,,,,,,,,,,,,,,,,
Income,Bonus,200,2023-01-24,Income,,Performance bonus,,,,,,,,,,,,,,,,,,,
Expense,Online Shopping,150,2023-01-25,Shopping,Other,Clothing purchase,,,,,,,,,,,,,,,,,,,
Income,Side Gig,120,2023-01-26,Income,,Consulting project,,,,,,,,,,,,,,,,,,,
Expense,Dining Out,60,2023-01-27,Food,Restaurant,Dinner with friends,,,,,,,,,,,,,,,,,,,
Expense,Grocery Shopping,80,2023-01-28,Food,Grocery,Weekly groceries,,,,,,,,,,,,,,,,,,,
Income,Payroll,1800,2023-01-29,Income,Salary,Monthly salary,,,,,,,,,,,,,,,,,,,
Expense,Rent,800,2023-01-30,Utilities,Rent,Apartment rent,,,,,,,,,,,,,,,,,,,
Expense,Grocery Shopping,75.5,2023-01-31,Food,Grocery,Weekly groceries,,,,,,,,,,,,,,,,,,,
